id,sponsor,venue,place,city/town,state/country,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
12508,HOTEL MARIE ANTOINETTE,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; HOTEL EMBLEM; 4.5 X 7.5;,DAILY,,1900-1141,1900-02-19,Marie Antoinette Hotel,Dollars,$,complete,2,82
12511,THIRD PANEL SHERIFF'S JURY NEW YORK COUNTY,POL;,"NEW YORK, NY",NEW YORK,NY,BOOKLET;ILL;COL;4.25X6.25;,ANNIVERSARY;,WINES SERVED;INDIVIDUAL'S NAME ON FRONT COVER;FOUR STANZAS OF THE STAR SPANGLED BANNER WRITTEN OUT;NAMES;SEATING PLAN ATTACHED;,1900-1174,1900-02-20,Third Panel Sheriff's Jury New York County,,,complete,12,35
12518,COLUMBIA RESTAURANT,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER;ILLUS;7.25X11.5;,DAILY;,2 COPIES;WINE LIST;,1901-1527,1901-06-03,Columbia Restaurant,Dollars,$,complete,4,475
12529,NEW YORK MEDICAL CLUB,PROF;,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; COL; 3X4.5;,,LISTS WINES SERVED WITH INDIVIDUAL COURSES; DECORATIVE WREATH ON COVER;,1900-2144,1900-02-26,New York Medical Club,,,complete,4,17
12559,ASSOCIATION OF EMPLOYING BOOKBINDERS,PROF;,"NEW YORK, NY",NEW YORK,NY,BOOKLET; ILLUS; 5.5X7;,ANNIVERSARY;,FRENCH; PRICED WINE CARD AFFIXED TO INSIDE COVER; SEAL & MOTTO OF ASSOCIATION ON COVER; TOASTS & MUSICAL PROGRAM INCLUDED; LIST OF MEMBER BOOKBINDING FIRMS; SILK CORD ATTACHMENT;,1900-2156,1900-02-26,Association Of Employing Bookbinders,Dollars,$,complete,8,30
12560,Delmonicos,,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; COL; 4.5X7;,,FRENCH; LIST OF WINES; ENGRAVED PORTRAIT OF A WOMAN ON COVER; (POSSIBLY A PRIVATE PARTY?);,1900-2157,1900-02-26,Delmonicos,,,complete,4,34
12564,RECTOR'S,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER;ILL;COL;7X9.5;,DAILY;,SPECIAL DISHES ON SEPARATE CARD FASTENED WITH RIBBON IN PUNCHED HOLE;,1900-3265,1900-05-13,Rector's,Dollars,$,complete,6,358
12568,JOHN WANAMAKER,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSHEET; ILLUS; COL; 4.75X7.75,,"ILLUS: SHIELD WITH FLEUR DE LYS, FLANKED BY LOBSTERS; SURMOUNTED BY PIGEON;",1900-3270,1900-05-14,John Wanamaker,Dollars,$,complete,2,72
12705,MILLS HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSHEET; 3.75 X 6;,DAILY,DINNER SERVED FROM 11;30 TO 9 PM; BREAKFAST MENU ON BACK;,1900-2638,1900-04-01,Mills Hotel,,,complete,2,67
12737,WEST END HOTEL RESTAURANT,COMMERCIAL,"NEW YORK,NY",NEW YORK,NY,FOLDER;COL;7X12.25;,DAILY;,WINE LIST;PRICE CHANGES;,1900-1179,1900-02-20,West End Hotel Restaurant,Dollars,$,complete,4,378
12747,HASKIN'S RESTAURANT,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD;5X7,DAILY;,,1900-1192,1900-02-21,Haskin's Restaurant,,,complete,2,43
12754,EVERETT HOUSE,COMMERCIAL,"NEW YORK,NY",NEW YORK,NY,FOLDER;ILL;COL;7X11L,DAILY;,EMBLEM AND DECORATION ON FRONT COVER;HANDWRITTEN DATE BY FB;WINE LIST ON BACK;,1900-2930,1900-04-23,Everett House,Dollars,$,complete,4,516
12781,BROADWAY CENTRAL HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; COL; 5.5X9;,,ONE OF A LARGE NUMBER OF MENUS WE HAVE HAD IN PAST; INCLUDES BIRD'S-EYE MAP OF NEW YORK PLUS OBJECTS OF INTEREST IN AND ABOUT NEW YORK;,1900-1012,1900-02-12,Broadway Central Hotel,Dollars,$,complete,4,63
12782,HOTEL EMPIRE,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; COL; 6.25X8.75;,,A LA CARTE DU JOUR DINNER MENU; INCLUDES EXTENSIVE PRICED WINE LIST; HOTEL MONOGRAM ON COVER;,1900-1014,1900-01-12,Empire Hotel,Dollars,$,complete,4,300
12783,COLONIAL HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; 6.25X10;,,"[DATE HANDWRITTEN]; MANY ADDITIONAL ITEMS TO MENU HANDWRITTEN; ""CREAM WITH TEA, COFFEE, ETC.,FIVE CENTS EXTRA;"" ILLUSTRATION OF HOTEL ON COVER;",1900-1015,1900-02-12,Colonial Hotel,Dollars,$,complete,4,378
12784,HOTEL MINOT,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; 7X11;,,"PRICED MENU AND WINE LIST; ""RUSSIAN CAVIAR-25 CENTS;"" DECORATIVE FLEUR DE LIS ON COVER;",1900-1017,1900-02-12,Minot Hotel,Dollars,$,complete,4,322
12788,SULLIVAN'S RESTAURANT,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSHEET; 5.5X9.5;,,[PLACE & DATE INFO HANDWRITTEN];,1900-1027,1900-02-12,Sullivan's Restaurant,Dollars,$,complete,2,109
12789,CAFETERIA LUNCH,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; COL; 6X9.5;,,"WE HAVE HAD THIS RESTAURANT BEFORE; SPECIALS MIMEOGRAPHED IN LAVENDAR HANDWRITING; ""SPECIAL DISHES FOR DAY AFTER LINCOLN'S BIRTHDAY -- SHADES OF LINCOLN: I REALLY BELIEVE THE CIVIL WAR WOULD HAVE BEEN AVERTED BY CAFETERIAS IN 1861;"" DECORATIVE BORDER, MOO",1900-1029,1900-02-13,Cafeteria Lunch,Dollars,$,complete,4,115
12792,EVELYN RESTAURANT,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; 4.25X7;,,"HANDWRITTEN; TABLE D'HOTE LUNCH, 60 CENTS;",1900-1033,1900-02-13,Evelyn Restaurant,,,complete,2,11
12798,BAPTIST SOCIAL UNION,RELIG;,"NEW YORK, NY",NEW YORK,NY,FOLDER;ILL;4X5.5;,,,1900-2662,1900-04-05,Baptist Social Union,,,complete,4,19
12799,MILLS HOTEL RESTAURANT,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSHEET;3.75X6;,DAILY;,,1900-2663,1900-04-05,Mills Hotel Restaurant,,,complete,2,21
12804,UNION LEAGUE CLUB,SOC;,"NEW YORK, NY",NEW YORK,NY,CARD; 6.5X10.0;,,,1900-2685,1900-04-07,Union League Club,Dollars,$,complete,2,171
12806,SHERIDAN SQUARE HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; 5.25X7.5;,,LOGO OF HOTEL IN RED;,1900-2687,1900-04-07,Sheridan Square Hotel,,,complete,2,32
12815,CENTRAL RESTAURANT,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; 6.75X10;,,"A LA CARTE MENU; [DATE HANDWRITTEN]; LOCATION 142 LIBERTY ST, SO IT IS MORE THAN LIKELY NEW YORK CITY; ALL SPECIAL ITEMS HANDWRITTEN; PRICED WINE LIST ON BACK;",1900-2975,1900-04-26,Central Restaurant,Dollars,$,complete,4,191
12816,MR. THOMAS HASTINGS,OTHER (PRIVATE PARTY WITH INDIVIDUAL HOST);,"NEW YORK, NY",NEW YORK,NY,CARD; ILLUS; 4.5X7;,COMPLIMENTARY/TESTIMONIAL,"FRENCH; HOST'S MONOGRAM AT TOP OF MENU; BEAUTIFULLY HANDSCRIPTED; [SPONSOR, EVENT INFO SUPPLIED BY FEB, INCLUDING ""PRESENTED BY DR. BILLINGS WHO WAS PRESENT];",1900-2976,1900-04-26,Mr. Thomas Hastings,,,complete,2,19
12817,CENTRAL RESTAURANT & ROOF GARDEN,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; ILLUS; 4.5X5.75;,,TABLE D'HOTE LUNCH -- 35 CENTS; RESTAURANT MONOGRAM IN WREATH;,1900-2979,1900-04-26,Central Restaurant & Roof Garden,,,complete,2,11
12819,CENTRAL RESTAURANT CO.,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BOOKLET; ILLUS; 6X9.5;,,"PRICED MENU; INCLUDES ""DINNER READY TO SERVE"" MENU; PRICED WINE CARD ON BACK OF MENU;",1900-2982,1900-04-26,Central Restaurant Co.,Dollars,$,complete,6,298
12824,HARLEM REPUBLICAN CLUB,POL;,"NEW YORK, NY",NEW YORK,NY,FOLDER; 5 X 6.5;,78TH BIRTHDAY OF U.S.GRANT,LIST OF WINES SERVED; PROGRAM INCLUDED & LIST OF COMMITTEE MEMBERS;,1900-3004,1900-04-27,Harlem Republican Club,,,complete,4,28
12853,New York Athletic Club,OTHER (PRIVATE CLUB);,"NEW YORK, NY",NEW YORK,NY,CARD; 6.75 X 11;,,PRICED MENU; LOGO;,1900-2436,1900-03-14,New York Athletic Club,Dollars,$,complete,2,164
12860,WESTMINSTER HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; 4 X 5.5;,,NOTE ABOUT PURITY OF WATER;,1900-2454,1900-03-14,Westminster Hotel,,,complete,2,40
12861,COLONIAL CLUB OF NEW YORK,OTHER (SOC);,"NEW YORK, NY",NEW YORK,NY,CARD; 6.25 X 9.25;,,PRICED MENU;,1900-2455,1900-03-14,Colonial Club Of New York,Dollars,$,complete,2,108
12862,CALUMET CLUB OF NEW YORK,OTHER (SOC);,"NEW YORK, NY",NEW YORK,NY,CARD; 6.25 X 10;,,PRICED MENU;,1900-2456,1900-03-14,Calumet Club Of New York,Dollars,$,complete,2,105
12863,SHERMAN SQUARE HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; HOTEL EMBLEM; 5.25 X 7.5;,,,1900-2459,1900-03-14,Sherman Square Hotel,,,complete,2,32
12875,PARK AVENUE HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; 4.25X7.0;,,FROM 12:00 TO 2:30 AND FROM 5:30 TO 8:00 PM; HOTEL LOGO IN PINK;,1900-2705,1900-04-07,Park Avenue Hotel,Dollars,$,complete,2,17
12879,HAMBLEN'S RESTAURANT & LUNCH ROOMS,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; 6X9.5;,,PRICED MENU; DECORATIVE BORDER; [DATE SUPPLIED BY FEB]; SPECIAL ITEMS WRITTEN IN LAVENDAR INK & THEN PRINTED; SUPPLIER'S ADS ON BACK PAGE;,1900-2720,1900-04-07,Hamblen's Restaurant & Lunch Rooms,Dollars,$,complete,4,199
12880,MANHATTAN CLUB,[SOC?];,"NEW YORK, NY",NEW YORK,NY,FOLDER; 6X9.5;,,"MONOGRAM ""MC"" ON COVER; INSIDE MENU ""MANHATTANCLUB"" IS HANDWRITTEN; PRICED MENU;",1900-2733,1900-04-08,Manhattan Club,Dollars,$,complete,4,278
12898,PUTNAM HOUSE,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; 4.5 X 7.25;,,PRICED MENU; TABLE D'HOTE DINNER; NOTE ABOUT PURITY OF WATER;,1900-2019,1900-02-18,Putnam House,Dollars,$,complete,2,29
12901,SAN REMO HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; ILLUS; COL; 4X6.75;,,TABLE D'HOTE MENU; HOTEL SEAL AT TOP OF MENU,1900-1036,1900-02-13,San Remo Hotel,,,complete,2,19
12902,SHANLEY BROS. OYSTER HOUSES & GRILL ROOM,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; 6.25 X 9.25;,DAILY,COMPLETE WINE LIST ON BACK;,1900-1038,1900-02-13,Shanley Bros. Oyster Houses & Grill Room,Dollars,$,complete,4,307
12906,YOUNG'S HERALD SQUARE LUNCH ROOM,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; 6.5 X 9.5;,DAILY,AD FOR MUSIC HALL ON COVER; BREAKFAST MENU ON BACK ;,1900-1043,1900-02-13,Young's Herald Square Lunch Room,Dollars,$,complete,4,242
12907,MONTEREY HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; 7 X 10;,DAILY,SOME ITEMS HANDWRITTEN;,1900-1044,1900-02-13,Monterey Hotel,Dollars,$,complete,4,224
12920,U.S.M.S. NEW YORK,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD;ILL;COL;4X6.25;,DAILY;,FLAG WITH BIRD IN BLUE UPPER LEFT;PRICED WINE LIST ON BACK;,1900-1073,1900-02-14,Usms New York,Dollars,$,complete,2,105
12923,ALBEMARLE HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; COL; 6X8.5;,,A LA CARTE PRICED MENU; HOTEL SEAL ON COVER;,1900-2026,1900-02-22,Albemarle Hotel,Dollars,$,complete,4,259
12965,LEGGERA ASSOCIATION,SOC;,"NEW YORK, NY",NEW YORK,NY,BOOKLET; ILLUS; COL; 5.25X7;,ANNIVERSARY;,WINES LISTED WITH INDIVIDUAL COURSES; USA & ITALIAN FLAGS ON COVER; ADVERTISEMENTS ON BACK COVER OF IMPORTERS OF ITALIAN  WINES & LIQUORS;,1900-2246,1900-03-03,Leggera Association,,,complete,4,15
12980,CHAS.BRADLEY'S OYSTER & DINING ROOM,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; 6.5 X 10.5;,,COMMUTATION TICKETS AVAIABLE FOR SALE; WINE LIST ON BACK PAGE;,1900-2478,1900-03-15,Chas.Bradley's Oyster & Dining Room,,,complete,4,235
12991,BOARD OF TRADE,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BOOLET;ILL;COL;4/25X7;,ANNIVERSARY;,ILLUSTRATIONV OF DOOR CUT OUT ON THREE SIDES WHEN OPEN SHOWING A MESSAGE;TOASTS;NAMES;TWISTED CORD FASTENING ON RIGHT,1900-1084,1900-02-15,Board Of Trade,,,complete,4,20
12992,McGOWN'S PASS TAVERN,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD;7X11;,DAILY;,MANY ENTRIES BY HAND ON PRINTED MENU;WINE LIST;DATE IN OTHER HANDWRITTING;,1900-1085,1900-02-15,Mcgown's Pass Tavern,Dollars,$,under review,2,282
12994,U.S.M.S.,NAV;,"NEW YORK, NY",NEW YORK,NY,CARD; ILLUS; COL; 4X6.25;,,INCLUDES PRICED WINE LIST; U.S.M.S. FLAG AT TOP OF MENU;,1900-1088,1900-02-15,U.S.M.S.,Dollars,$,complete,2,93
13002,NEW YORK ALUMNI ASSOCIATION OF THE PHILLIPS EXETER ACADEMY,EDUC;,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; COL; 5X8;,ANNIVERSARY;,INCLUDES OFFICERS 189901900 AND EXECUTIVE COMMITTEE; SCHOOL SEAL ON BACK COVER;,1900-2745,1900-04-10,New York Alumni Association Of The Phillips Exeter Academy,,,complete,4,18
13005,BATTERY PARK HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; 4.5 X 7.5;,,PRICED WINE LIST; DRAWING OF HOTEL; POINTS OF INTEREST WITH DISTANCES FROM BATTERY PARK;,1900-2757,1900-04-11,Battery Park Hotel,Dollars,$,complete,4,130
13006,PHILITSCIKOMA,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; 3.0X3.0;,,MENU IN FRENCH;,1900-3077,1900-05-03,Philitscikoma,,,complete,4,14
13009,BAPTIST SOCIAL UNION OF NEW YORK,RELIG;,"NEW YORK, NY",NEW YORK,NY,CARD; 4.75X6.75;,,,1900-3087,1900-05-03,Baptist Social Union Of New York,,,complete,2,19
13043,CHILDS' LUNCH ROOMS,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARE; 4.25X8.0;,,"THIS MENU SAYS: ""CHILDS' LUNCH ROOMS THROUGHOUT THE CITY; BILL OF FARE FOR 54 BEAVER ST."" ; 17 ADDITIONAL LOCATIONS IN NEW YORK CITY LISTED; 1 LOCATION IN NEW HAVEN, CT; 5 LOCATIONS IN PHILADELPHIA, PA; NOTATION: ""MILK EXPRESSED FROM OUR OWN DAIRY EVERY M",1900-2518,1900-01-01,Childs' Lunch Rooms,Dollars,$,complete,2,41
13047,NEW YORK BOARD OF EDUCATION,EDUC;,"NEW YORK, NY",NEW YORK,NY,BOOKLET; ILLUS; COL; 6.75X8.25;,COMPLIMENTARY/TESTIMONIAL,FRENCH; LISTS WINES SERVED WITH INDIVIDUAL COURSES; GUESTS LISTED; BOARD OF EDUCATION MEMBERS INCLUDED; SILK RIBBON ATTACHMENTS;,1900-2049,1900-02-22,New York Board Of Education,,,complete,8,32
13058,SOCIETY OF THE CINCINNATI IN THE STATE OF NEW JERSEY,PATR;,"NEW YORK, NY",NEW YORK,NY,BOOKLET; ILLUS; CO; 8 X 10;,PATRIOTIC HOLIDAY;,"FRENCH; DRAWING OF WASHINGTON AT TRENTON, NJ OF DECMBER 26, 1776; MADAL SUSPENDED FROM BLUE RIBBON;",1900-2074,1900-02-22,Society Of The Cincinnati In The State Of New Jersey,,,complete,8,19
13059,LAMBERT'S RESTAURANT,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; 7 X 11;,,PRICED MENU; TABLE D'HOTE DINNER; HANDWRITTEN;,1900-2075,1900-02-23,Lambert's Restaurant,Dollars,$,complete,2,28
13060,SIEGEL COOPER CO.,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BOOKLET; ILLUS; COL; 4.75 X 6.75;,,DRAWING OF WAITER AND WAITRESS ON CVER; MOTTO READING DAINTY FOOD FOR DAINTY PEOPLE ON REAR COVER; PRICED MENU;,1900-2076,1900-02-23,Siegel Cooper Co.,Dollars,$,complete,12,138
13076,DISTRICT NO.3 CATHOLIC BENEVOLENT LEGION,RELIG;,"NEW YORK, NY",NEW YORK,NY,BOOKLET;ILL;COL;4.25X6.5;,ANNIVERSARY;,LILIES OF THE VALLEY ON FRONT COVER;RIBBON AT LEFT;TOASTS;NAMES,1900-2105,1900-02-24,District No.3 Catholic Benevolent Legion,,,complete,8,21
13092,ROAD DRIVERS' ASSOCIATION OF NEW YORK,SOC;,"NEW YORK, NY",NEW YORK,NY,CARD; ILLUS; 4.5X6.75;,,INCLUDES WINES SERVED WITH INDIVIDUAL COURSES; SKETCH OF FIRST ANNUAL PARADE OF ROAD DRIVERS' ASSOC. ON BACK OF MENU; LISTS OFFICERS & COMMITTEE;,1900-3129,1900-05-05,Road Drivers' Association Of New York,,,complete,2,21
13107,COLOMBO HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; 5.5 X 11;,,"TYPED; DATE NOTED BY HAND;COUNTRY RESORT, WHITE HOUSE HOTEL, FORT WADSWORTH S.I. NOTED;",1900-2303,1900-02-06,Hotel Colombo,Dollars,$,complete,2,26
13111,FRANCES ECKMAN & ARTHUR HERZOG,SOC;,"NEW YORK, NY",NEW YORK,NY,CARD; GOLD DECORATION; 3 X 6;,RITE,MENU IN FRENCH;,1900-2322,1900-03-06,Frances Eckman & Arthur Herzog,,,complete,2,23
13117,CASTLE GARDEN HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; ILLUS OF HOTEL; 8 X 11;,DAILY,ALL HANDWRITTEN; IN POOR CONDITION;,1900-2339,1900-03-07,Castle Garden Hotel,Dollars,$,complete,2,25
13118,Hotel Majestic,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; 4.5X7.25;,,,1900-2533,1900-03-21,Hotel Majestic,Dollars,$,complete,2,67
13121,HOTEL GRENOBLE/WARREN LELAND JR.,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSHEET; 7.0X11.0;,,"PALE BUFF CARD WITH GARLAND BORDER AND NAME OF HOTEL PRINTED IN PINK; PRICED WINE LIST; NOTATION:; ""WESTERN UNION TELEGRAPH, LONG DISTANCE AND LOCAL TELEPHONE IN READING ROOM. CIGARS AND NEWS STAND IN MAIN OFFICE.""",1900-2539,1900-03-21,Hotel Grenoble/Warren Leland Jr.,Dollars,$,complete,2,274
13134,ALPHA KAPPA PHI,SOC;,"NEW YORK, NY",NEW YORK,NY,CARD; 4.5 X 7;,ANNIVERSARY;,,1900-2787,1900-04-14,Alpha Kappa Phi,,,complete,2,17
13136,MURRAY HILL HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD;ILL;COL;4.25X6.5;,EASTER;,PRESENTED BY CATHARINE B.ALSOP LEFFINGWELL WRITTEN ON BACK;,1900-2791,1900-04-15,Murray Hill Hotel,Dollars,$,complete,2,55
13154,REFORM CLUB,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD;6X10;,DAILY;,NEW YORK CITY HANDWRITTEN BY FB;TWO NAMES AND DATE 12TH OF FEBRUARY 1901 HANDWRITTEN ON BACK OF MENU;,1900-3247,1900-05-12,Reform Club,Dollars,$,complete,2,85
13155,BLOTTNER'S CAFE & RESTAURANT,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; 6 X 9.25;,DAILY,MENU ALL HANDWRITTEN; WINE LIST & PRICES ON BORDER;,1900-2340,1900-03-07,Blottner's Cafe & Restaurant,Dollars,$,complete,2,38
13166,GRENOBLE HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSHEET; 6.0X9.0;,,"PALE BUFF CARD; PRICED WINE LIST; NOTATION:; ""WESTERN UNION TELEGRAPH, LONG DISTANCE AND LOCAL TELEPHONE IN READING ROOM. CIGARS AND NEWS STAND IN MAIN OFFICE.""",1900-2542,1900-03-21,Hotel Grenoble,Dollars,$,complete,2,300
13175,CRISTOFORO COLOMBO RESTAURANT,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; 7X12;,,ITALIAN; ALL ITEMS 5C AND 10C; [DATE INFO SUPPLIED BY FEB]; SPECIAL ITEMS HANDWRITTEN;,1900-2574,1900-03-25,Cristoforo Colombo Restaurant,,,complete,2,50
13181,CITY HALL CELLAR,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER;ILL;6X7.5;,DAILY;,PICTURE OF MAN ON FRONT COVER;BEER SERVED WITH 40 CENTS LUNCH;DATE HANDWRITTEN BY FB;BROADWAY-CHAMBERS BUILDING PICTURED ON BACK COVER;,1900-2802,1900-04-15,City Hall Cellar,Dollars,$,complete,4,37
13196,NEW YORK SOCIETY OF THE ORDER OF THE FOUNDERS AND PATRIOTS OF AMERICA,PATR;,"NEW YORK, NY",NEW YORK,NY,CARD; 4 X 7;,SOC;,PRICED WINE LIST GLUED TO BACK OF MENU;,1901-1277,1901-05-13,New York Society Of The Order Of The Founders And Patriots Of America,Dollars,$,complete,2,52
13197,CATSKILL MOUNTAIN HOUSE,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; ILLUS; 4.5X8.0;,,"ILLUS, PHOTOGRAPHIC VIEW OF ""MOUNTAIN HOUSE & LEDGE; DATE HAND WRITTEN [FEB?];",1900-3876,1900-07-12,Catskill Mountain House,,,complete,2,67
