id,sponsor,venue,place,city/town,state/country,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
24426,FALL RIVER LINE,COMMERCIAL,STEAMER PLYMOUTH,STEAMER PLYMOUTH,,FOLDER; 6.0X8.5; ILLUS; COL;,,"ILLUS: STEAMSHIP PRISCILLA WITH FLAGS FLYING AND NOTE ""THE IDEAL METHOD;; 13 MEDALLIONS ARRANGED IN OVAL, EACH DEPICTING A METHOD OF TRANSPORTATION; STREAMER WITH NOTE: ""A STUDY IN TRANSPORTATION""; PRICED WINE LIST, PRICES QUOTED FOR PINTS AND QUARTS; MIN",1900-464,1900-01-23,Fall River Line,Dollars,$,complete,4,216
24821,HOTEL KNICKERBOCKER,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; ILLUS; COL; 7.75 X 12;,,PRICED MENU; PASTORAL ILLUSTRATION;,1907-031,1907-01-07,Hotel Knickerbocker (?),Dollars,$,complete,2,97
24956,NEW YORK CENTRAL & HUDSON RIVER R.R. DINING CAR SERVICE,COMMERCIAL,EN ROUTE,EN ROUTE,,FOLDER; ILLUS; 5.5 X 7;,,ILLUSTRATION OF GRAND CENTRAL STATION ON FRONT AND RIVER SCENE ON BACK; PRIX FIXE MENU; PRICED WINE LIST; COPY OF MENU AVAILABLE IN AN ENVELOPE FOR MAILING; TRAIN NUMBER AND DATE PRINTED ON BOTTOM OFMENU;,1900-433,1900-01-20,New York Central & Hudson River R.R. Dining Car Service,Dollars,$,complete,4,89
25106,LAWRENCE R. KERR,COMMERCIAL,", NY",,NY,CARD; 4.75X6;,DAILY;,DATE HANDWRITTEN ON BACK;,1893-103,1893-09-03,Lawrence R. Kerr,,,complete,2,32
25138,SOUTHERN RAILWAY INSPECTION TRIP,COMMERCIAL,"BIRMINGHAM, AL",BIRMINGHAM,AL,CARD; 5.5 X 6.5;,,,1905-0855,1905-11-15,Southern Railway Inspection Trip,,,complete,2,25
25378,THE WINDSOR,HOTEL,"ELIZABETHTOWN,NY",ELIZABETHTOWN,NY,BROADSIDE;5X8,BREAKFAST,,1881-040,1881-01-01,The Windsor,,,complete,2,37
25582,NEIL HOUSE,COMMERCIAL,"COLUMBUS, OH",COLUMBUS,OH,BROADSIDE; PHOTOGRAPH; COL; 5.25 X 8.5;,,,1901-269,1901-02-04,Neil House,,,complete,2,68
25680,Delmonicos,,DELMONICO'S,DELMONICO'S,,BOOKLET; 5.75 X 9.25;,,"BREAKFAST, LUNCH, DINNER PRICED MENUS, SOME FROM DELMONICO'S; FOR MONTH OF OCTOBER; INTENDED AS A COOKBOOK?",1896-175,1896-10-07,Delmonico's,Dollars,$,complete,2,7
25782,HOLLAND HOUSE,COMMERCIAL,,,,CARD;6X8.75;,DAILY;,"ENGLISH ON ONE SIDE,FRENCH ON ONE SIDE;14 DIFFERENT KINDS OF POTATOES INCLUDING ""SARAH BERNHARDT"";",1900-516,1900-01-25,Holland House,Dollars,$,complete,2,332
25935,BROADWAY CENTRAL HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,FOLDER; ILLUS; COL; 5.5X9;,OTHER (DAILY MENU);,"INCLUDES BIRD'S EYE MAP OF NEW YORK WITH NARRATIVE OBJECTS OF INTEREST IN AND ABOUT NEW YORK; THIS UNIQUE HOTEL MENU FORMAT HAS BEEN PREVIOUSLY ENTERED IN ""UNUSUALS"" FILE; HOURS FOR MEALS;",1900-173,1900-01-11,Broadway Central Hotel,,,complete,4,69
25960,PULLMAN VESTIBULED TRAIN,COMMERCIAL,PULLMAN CAR,PULLMAN CAR,,CARD; 4.4 X 6.75;,COMPLIMENTARY/TESTIMONIAL,DARK BLUE PRINT; GOLD BORDER;,1897-215,1897-06-06,Pullman Vestibuled Train,,,under review,2,28
25980,THE CONTINENTAL,COMMERCIAL,"NARRAGANSETT PIER, RI",NARRAGANSETT PIER,RI,BROADSIDE; 4.5X7.25;,,MEAL HOURS INDICATED,1895-141,1895-08-07,The Continental,,,complete,2,42
